Event Title,Event Date,Event Location,Event Type,Poets,Event Summary,Event Original Title
"""Drum,"" African Magazine Begins",1951,Southern Africa. South Africa. Johannesburg.,Social,"Ranaivo, Flavien
Rabearivelo, Jean-Joseph
Rabemananjara, Jacques","""Drum,"" initially titled ""African Drum,"" was created by author Bob Crisp in 1951. ""Drum"" was a South African family magazine that targeted black readers and covered news and entertainment. ""Drum"" is most noted for its reporting in the 1950s and 60s on life in townships under apartheid. By 1965, ""Drum"" had faded in popularity, but was revived in 1968, and remains as the sixth largest magazine in South Africa.

https://en.wikipedia.org/wiki/Drum_(South_African_magazine)","""Drum,"" African Magazine Begins"
10 Year Commemoration of Roy Campbell,1967-04-24,Europe. Portugal. Lisbon.,Personal,"Campbell, Roy","Monday, April 24, 1967 marked the ten year anniversary of the passing of poet Roy Campbell. Campbell passed away in a motor accident in Lisbon. At a ten year commemoration, Mr. Francois Viljoen, the South African Ambassador in Lisbon, laid a wreath on the grave of Roy Campbell.

https://en.wikipedia.org/wiki/Roy_Campbell_(poet)#Death",10 Year Commemoration of Roy Campbell
"60th Birthday of William Plomer, President of the Poetry Society",1969-02-04,United Kingdom. England. London.,Social,"Plomer, William","On February 4, 1969, at a Poetry Gala in London, an evening of poetry recitals occurred in celebration of William Plomer's 60th birthday. He served as the President of the Poetry Society.","60th Birthday of William Plomer, President of the Poetry Society"
Acquittal of Wole Soyinka,1965-12-21,West Africa. Nigeria. Lagos.,Political,"Soyinka, Wole","In Lagos, Nigeria, on December 21 1965, Wole Soyinka, who had been standing trial on a charge of robberty, was quitted by Mr. Justice Kayode Eso, who suggested there was a material conflict in the evidence of the prosecution witnesses. Soyinka had claimed he was not in Ibadan at the time of the crime. ",Acquittal of Wole Soyinka
Arrest and Imprisonment of Dennis Brutus,1964-01-09,Southern Africa. South Africa. Johannesburg.,Political,"Brutus, Dennis","In Johannesburg, South Africa, on January 9, 1964, Dennis Brutus, president of SANrOC, was sentenced to eighteen months of imprisonment on four charges of contravening a banning order and one of escaping from custody. ",Arrest and Imprisonment of Dennis Brutus
Arrest of Breyten Breytenbach,1975,Southern Africa. South Africa. Johannesburg.,Political,"Breytenbach, Breyten","In 1975 in Johannesburg, South Africa, Breyten Breytenbach, the jailed Afrikaans poet, had offered to infiltrate the South African Communist Party in exchange for his early release from prison. At that time, Mr. Breytenbach was already serving a nine-year prison sentence.",Arrest of Breyten Breytenbach
Arrest of Ken Saro-Wiwa,1993-06-21,West Africa. Nigeria. Port Harcourt.,Political,"Achebe, Chinua
Okigbo, Christopher","On Monday, June 21, 1993 in Port Harcourt, poet Ken Saro-Wiwa was arrested and detained by Nigerian authorities but was released after a month. ",Arrest of Ken Saro-Wiwa
Arrest of Pitika Ntuli,1978-04-07,Southern Africa. Swaziland.,Political,"Ntuli, Pitika","On April 7, 1978, Pitika Ntuli, a South African poet and sculptor living in exile in Swaziland, was arrested and detained by Swazi authorities under anti-terrorism law. He was not charged with any offense and was held for a year on death row as a political prisoner in a Swaziland jail. Once released, he fled to England, where he lived for 18 years.

",Arrest of Pitika Ntuli
Arrest of Wole Soyinka in August 1967,1967-08-29,West Africa. Nigeria. Ibadan.,Political,"Soyinka, Wole","In August of 1967, poet and playwright Wole Soyinka was imprisoned in Nigera for signing a letter to a Nigerian newspaper proposing a truce to the conflict with the seceded territory of Biafra. ",Arrest of Wole Soyinka
Release of Wole Soyinka in October 1967,1967-10-27,West Africa. Nigeria. Lagos.,Political,"Soyinka, Wole","In October of 1967, poet and playwright Wole Soyinka was released from his detainment for his involvement in promoting peace between the territory of Biafra and Nigeria. ",Arrest of Wole Soyinka
Arrests under the Terrorism Act,1975-09-16,Southern Africa. South Africa. Cape Town.,Political,"Breytenbach, Breyten","In Cape Town, South Africa, on September  16, 1975, four whites and an African were detained under the Terrorism Act by South African security police. These arrests were connected with the detention of Breyten Breytenbach, an Afrikaner poet, weeks prior.",Arrests under the Terrorism Act
Attempted Murder of Dennis Brutus,1963,Southern Africa,Political,"Brutus, Dennis","In 1963 in South Africa, the South African police were suggested to have fired two shots at poet and weightlifting champion in a suggested attempted murder for his work protesting the racial discrimination in South African sport. ",Attempted Murder of Dennis Brutus
BBC Arts and Africa Poetry Award,1988,United Kingdom. England. London.,Professional,"Laing, Kojo","In 1988 in London, Kojo Laing, African poet, received the BBC Arts and Africa Poetry Award for his collection ""Godhorse.""",BBC Arts and Africa Poetry Award
Booker McConnell Prize for fiction Award,1983,Southern Africa. South Africa. Cape Town.,Professional,"Coetzee, John Maxwell","In 1983 in Cape Town, South Africa, the Booker McConnell prize for fiction was awarded to J. M. Coetzee for ""Life and Times of Michael K,"" published by Secker and Warburg.",Booker McConnell Prize for fiction Award
Boycott of British Commonwealth Games (SANROC),1970-04-24,United Kingdom. Scotland. Edinburgh.,Political,"Brutus, Dennis","On April 24, 1970 in England, Dennis Brutus, along with SANROC, led a mass boycott of the British Commonwealth Games in Edinburgh for racism in the South African sport for refusing to allow nonwhite athletes.",Boycott of British Commonwealth Games (SANROC)
"Boycott of Olympic Games, 1976, Canada",1976-07-20,North America. Canada. Montreal.,Political,"Brutus, Dennis","In 1976 in Canada, Dennis Brutus, alongside SANROC, called for the boycott of the 1976 Summer Olympic Games in Montreal. Brutus and SANROC cite the racism inherent in South African policies for selecting only white athletes as the reason for requesting countries to boycott participation in the games.  ",Boycott of Olympic Games
"Boycott of Olympic Games, 1976, South Africa",1976-07-19,Southern Africa,Political,"Brutus, Dennis","In 1976 in Canada, Dennis Brutus, alongside SANROC, called for the boycott of the 1976 Summer Olympic Games in Montreal. Brutus and SANROC cite the racism inherent in South African policies for selecting only white athletes as the reason for requesting countries to boycott participation in the games.  ",Boycott of Olympic Games
"Building of the memorial, Mashu Campbell Bantu Museum",1957,Southern Africa. South Africa. KwaZulu-Natal.,Professional,"Campbell, Roy","In 1957, Sir Shane Leslie returned an ivory bracelet once worn by Shaka, the Zulu king, to the Zulu nation in Natal to be placed in a national museum in honor of Sir Marshall Campbell. Roy Campbell, the South African poet, is a member of the same family.","Building of the memorial, Mashu Campbell Bantu Museum"
Christopher Okigbo Nigerian Arms Deal,1966-10-30,West Africa. Nigeria.,Political,"Okigbo, Christopher","On October 30, 1966, Chritopher Okigbo, a poet from Eastern Nigeria, planned the deal with a French ex-policeman, Paul Favier to transport 1,007 sub-machine guns to defend the Ibo against the ravages of the Hausa tribesmen from Northern Nigeria. ",Christopher Okigbo Nigerian Arms Deal
Commonwealth Arts Festival 1965,1965-09-15,United Kingdom. England. London. Stratford.,Professional,"Soyinka, Wole","Over three weeks in 1965, the UK hosted visual artists, musicians, dancers, poets, and writers in a festival to ""celebrate"" their national cultures. The nations invited to attend were those considered part of the greater British Commonwealth of colonial nations. Wole Soyinka's play ""The Road"" was considered a highlight of the festival.",Commonwealth Arts Festival
Commonwealth Education Conference,1962-01-15,South Asia. India. Delhi.,Professional,"Okigbo, Christopher
Achebe, Chinua
","The Commonwealth Education Conference, held in Delhi in January of 1962, was a meeting of educational ministers from colonial nations of the UK who were seeking additional education and training in order to increase the educational level of their nation. The Conference in 1962 specifically considered books and their publishing in the English language.",Commonwealth Education Conference
"Race discrimination on Panorama, BBC programme",1970-04-30,United Kingdom. England. London.,Political,"Brutus, Dennis","The Prime Minister and six other men were named in a complaint laid at Bow Street police station on April 30, 1970, under the 1965 Race Relations Act. Mr. Peter Tombs, of Evans Road, Eynsham. Oxfordshire, a writer, said statements inciting unlawful race discrimination had been made on the B.B.C.'s Panorama programme by Mr. Wilson, Mr. John Arlott, Mr. Peter Hain, Mr. Jeffrey Crawford, the Bishop of Woolwich, the Right Rev. David Sheppard, Mr. Dennis Brutus and Mr John Darragh. [From Excerpt of text]","Complaint, race discrimination on Panorama, BBC programme"
Conference of African Linguists,1982-10-01,Europe. Germany. Cologne.,Professional,"P'Bitek, Okot","On October 1, 1982, the Conference of African Linguists commenced in Cologne, Germany.",Conference of African Linguists
Conference of the English Academy of Southern Africa at Rhodes University,1969,Southern Africa. South Africa. Grahamstown.,Professional,"Butler, Guy
Mann, Chris
Cope, Jack [Robert Knox]
Driver, C. J. [Jonty]
Aylen, Leo
Campbell, Roy
Plomer, William
Prince, Frank Templeton [F. T.]
Eglington, Charles
Livingstone, Douglas
Clouts, Sydney
Adams, Perseus [Peter Robert Charles]
Slater, Francis Carey [F. C.]
Currey, Ralph Nixon [R. N.]
Hamilton, William Robert [W. R.]
Kunene, Mazisi
Mtshali, Oswald Joseph
Serote, Morganne Wally
Gwala, Pascal
Sepamla, Sipho
Lewin, Hugh
Nortje, Arthur","The Conference of The English Academy of Southern Africa was held at Rhodes University in Grahamstown in July 1969 and its theme was South African writing in English. 

",Conference of the English Academy of Southern Africa at Rhodes University
Conference on the medieval Manding Empire of Mali,1972-06-29,United Kingdom. England. London.,Professional,"Senghor, Léopold Sédar","The Conference on the Medieval Manding Empire of Mali occurred during June of 1972 in London. African scholars, including Leopold Senghor, poet and Senegal's President, were in assembly. ",Conference on the medieval Manding Empire of Mali
Death of Charles Eglington,1972,Southern Africa. South Africa. Johannesburg.,Personal,"Eglington, Charles","Charles Eglington, the South African writer and poet was found hanged at his home in Johannesburg in 1972. He was 52. ",Death of Charles Eglington
Death of Christopher Okigbo,1967-09-18,West Africa. Nigeria. Republic of Biafra.,Political,"Okigbo, Christopher
Achebe, Chinua
","On September 18, 1967, Christopher Okigbo, Nigerian poet, was killed during a battle with the federal Nigerian army in the town of Nsukka. Okigbo was fighting on behalf of the seceded territory of Biafra in Nigeria. ",Death of Christopher Okigbo
Death of F. C. Slater,1958,Southern Africa. South Africa. Cape Town.,Personal,"Slater, Francis Carey [F. C.]","Francis Carey Slater, the South African poet, died in 1958 at the age of 84 in Cape Town, South Africa. ",Death of F. C. Slater
Death of Foreign Minister of Malagasy Republic,1967-09-28,East Africa. Madagascar. Tananarive.,Political,"Rabemananjara, Jacques","The Malagasy Republic's ambassador in London,  Jules Razafimbahiny, was called back to help fill the gap caused by the death of the Malagasy Foreign Minister, Dr. Albert Sylla, in an air crash in Madagascar in August 1967. ",Death of Foreign Minister of Malagasy Republic
Death of Léopold Sédar Senghor,2001-12-20,Europe. France. Verson.,Personal,"Senghor, Léopold Sédar","Léopold Sédar Senghor, poet and Senegal's President for two decades, died on December 20, 2001.",Death of Léopold Sédar Senghor
Death of Okot p'Bitek ,1982-07-19,East Africa. Uganda. Kampala.,Personal,"p'Bitek, Okot
Mapanje, Jack
Chipasula, Frank","Okot p'Bitek, a Ugandan poet, died on July 19, 1982 in Kampala, Uganda.",Death of Okot p'Bitek and Obituary
Death of Roy Campbell,1957-04-23,Europe. Portugal. Lisbon. Setubal.,Personal,"Campbell, Roy","Roy Campbell, a South African poet, was killed in a car accident in near Setubal, Portugal on April 23, 1957. His wife was taken to the hospital but survived.",Death of Roy Campbell
Death of Sheik Benguedda El Hadj Belarbi,1932-01-12,North Africa. Algeria. Mazouna.,Social,"El Hadj Belarbi, Sheik Benguedda","The muslim poet Sheik Benguedda El Hadj Belarbi died on January 12, 1932 in Mazouna, Algeria.",Death of Sheik Benguedda El Hadj Belarbi
Defiance Campaign  against Unjust Laws,1952-12-01,Southern Africa. South Africa. Bloemfontein.,Political,"Ranaivo, Flavien
Rabearivelo, Jean-Joseph
Rabemananjara, Jacques","The Defiance Campaign against Unjust Laws was presented by the African National Congress (ANC) at a conference held in Bloemfontein, South Africa in December 1951. The Defiance Campaign was launched on the anniversary of the National Day of Protest, 26 June 1952. In major South African cities, people and organizations performed acts of defiance and civil disobedience.

https://en.wikipedia.org/wiki/Defiance_Campaign",Defiance Campaign  against Unjust Laws
Degree Doctor of Letters by Diploma conferred to Léopold Sédar Senghor,1973-10-26,United Kingdom. England. Oxford.,Professional,"Senghor, Léopold Sédar","On October 26, 1973, the Chancellor of Oxford University, Harold Macmillan, granted a Doctor of Letters by Diploma to Léopold Sédar Senghor, president of Senegal. Senghor was the second head of an African state to receive such a degree. ",Degree Doctor of Letters by Diploma conferred to Léopold Sédar Senghor
"Dennis Brutus protests the Olympics (SANROC), 1977, London",1977-06-11,United Kingdom. England. London.,Political,"Brutus, Dennis","Dennis Brutus, on behalf of SANROC, flew into London in June of 1977 in order to protest Wimbledon, as he similarly organized the walkout at the Montreal Olympics in 1976.  Brutus flew into London with a threat that the Centre Court could be sabotaged if white South Africans are allowed to play. ",Dennis Brutus protests the Olympics (SANROC)
"Dennis Brutus protests the Olympics (SANROC), 1969, South Africa",1969-10-21,Southern Africa. South Africa.,Political,"Brutus, Dennis","Critics of apartheid suggest that the South African cricket team should not be allowed to perform in the 1970 South African Tour of England (which was, indeed, canceled). In1962, the ""South African non-racial Open Committee for Olympic Sports""--Sanroc--was formed. Headed by Dennis Brutus, this group organized multiple boycotts and protests against South Africa's participation in international sport competitions.",Dennis Brutus protests the Olympics (SANROC)
"Dennis Brutus protests the Olympics (SANROC), 1976, Montreal",1976-06-25,North America. Canada. Montreal.,Political,"Brutus, Dennis","Dennis Brutus organized a mass boycott/protest of South Africa's participation in the 1976 Montreal Olympics with SANROC, the South African Non-Racial Open Committtee. ",Dennis Brutus protests the Olympics (SANROC)
"Dennis Brutus protests the Olympics (SANROC), 1971, London",1971-02-28,United Kingdom. England. London.,Political,"Brutus, Dennis","A non-white sports committee was formed to work alongside the white South African Olympic and National Games Association towards South Africa's fight for re-entry to the Olympics. Dennis Brutus spoe out against this move, suggesting that it was a ""blow"" to black South Africans who want multi-racial sports. ",Dennis Brutus protests the Olympics (SANROC)
"Dennis Brutus protests the Olympics (SANROC), 1969, London",1969-11-09,United Kingdom. England. London.,Political,"Brutus, Dennis",Dennis Brutush protests South Africa's involvement in sports internationally with SANROC. He works to bring attention to the state of South Africa under apartheid. ,Dennis Brutus protests the Olympics (SANROC)
"Dennis Brutus protests the Olympics (SANROC), May 1970, London",1970-05-13,United Kingdom. England. London.,Political,"Brutus, Dennis",Dennis Brutush protests South Africa's involvement in sports internationally with SANROC. He works to bring attention to the state of South Africa under apartheid. ,Dennis Brutus protests the Olympics (SANROC)
"Dennis Brutus protests the Olympics (SANROC), February 1970, London",1970-02-06,United Kingdom. England. London.,Political,"Brutus, Dennis",Dennis Brutush protests South Africa's involvement in sports internationally with SANROC. He works to bring attention to the state of South Africa under apartheid. ,Dennis Brutus protests the Olympics (SANROC)
Detention/Release of Jack Mapanje,1990,East Africa. Malawi.,Political,"P'Bitek, Okot
Mapanje, Jack
Chipasula, Frank","Jack Mapanje, Malawi's best-known poet, was released in May 1990 after three-and-a-half years' detention by the Malawi government without charge or trial.",Detention/Release of Jack Mapanje
Economic agreement with Malagasy Republic,1970-11-19,East Africa. Madagascar. Tananarive.,Political,"Rabemananjara, Jacques","A South African delegation arrived in Tananarive on November 11, 1970 to sign an economic agreement with the Malagasy Republic and for talks with Government leaders. Under the agreement South Africa will lend Madagascar the equivalent of 1,350,000--repayable over 25 years--to develop its tourist industry.",Economic agreement with Malagasy Republic
"Election of Léopold Sédar Senghor, September 1960",1960-09-05,West Africa. Senegal. Dakar.,Political,"Senghor, Léopold Sédar","Leopold Senghor, poet and statesman, was today elected unanimously as first President of the Senegalese Republic on September 5, 1960. ",Election of Léopold Sédar Senghor
Execution of Benjamin Moloise,1983,Southern Africa. South Africa. Johannesburg.,Political,"Moloise, Benjamin","Benjamin Moloise, a black South African poet, was convicted to capital punishment by the apartheid regime of South Africa for allegedly murdering a policeman in 1982. The African National Congress claimed responsibility for the murder and repudiated the claim that Moloise was involved, but Moloise was hanged on 18 October 1985 at the Pretoria Central Prison despite worldwide pleas for clemency.

https://en.wikipedia.org/wiki/Benjamin_Moloise",Execution of Benjamin Moloise
First International Congress of Negro Writers and Artists,1956,Europe. France. Paris.,Professional,,"The First International Congress of Black Writers and Artists, held from September 19-22, 1956 at the Sorbonne in Paris, was one of the most significant gatherings of black intellectuals during the twentieth century.

https://arcade.stanford.edu/content/women-and-1956-congress-black-writers-and-artists-paris",First International Congress of Negro Writers and Artists
ICA Special Poetry Reading,1970-07-29,United Kingdom. England. London. Nash House.,Professional,"Brutus, Dennis","On July 1970, an ICA Special poetry reading was held featuring Janos Pilinszky, Ted Hughes, Carolyn Kizer, and Dennis Brutus at the Nash House.",ICA Special Poetry Reading
Imprisonment of Breyten Breytenbach,1975,Southern Africa. South Africa. Johannesburg.,Political,"Breytenbach, Breyten","On an illegal trip to South Africa in 1975, Afrikaans poet Breyten Breytenbach was arrested and sentenced to nine years' imprisonment for high treason. Released in 1982 as a result of international protests, he returned to Paris and obtained French citizenship.

https://en.wikipedia.org/wiki/Breyten_Breytenbach",Imprisonment of Breyten Breytenbach
Imprisonment of Wole Soyinka,1967-1969,West Africa. Nigeria. Republic of Biafra.,Political,"Soyinka, Wole","Following the military coup of January 1966, playwright and poet Wole Soyinka secretly and unofficially met with the military governor of Biafra in August 1967. As a result, he was imprisoned for 22 months as the civil war ensued between the Federal Government of Nigeria and the Biafrans. In October 1969, when the civil war came to an end, amnesty was proclaimed, and Soyinka and other political prisoners were freed.",Imprisonment of Wole Soyinka
International conference on human rights,1985-05-30,Europe. France. Paris.,Political,"Breytenbach, Breyten","A two-day international conference on human rights occurred in Paris, France on May 30, 1985. The conference included the South African poet Breyten Breytenbach. ",International conference on human rights
International PEN Conference,1988,United Kingdom. England. Cambridge.,Professional,"Haresnape, Geoffrey","At the four day International PEN Conference at Cambridge in England in 1988, the interdependence of academia and creative writing were discussed as the major theme. The conference drew about 150 members, including Geoffrey Haresnape, a South African poet and professor at the University of Cape Town. ",International PEN Conference
John Whiting Award to Wole Soyinka,1967,United Kingdom. England. London.,Professional,"Soyinka, Wole","Lord Goodman, chairman of the Arts Council, presented the John Whiting Award in 1967 to playwright Wole Soyinka. This award was given to British or Commonwealth playwrights for a play or plays, either read in script form or seen in production during the year, which show a new and distinctive development in dramatic writing.",John Whiting Award to Wole Soyinka
Ken Saro-Wiwa's execution,1995-11-10,West Africa. Nigeria. Port Harcourt.,Political,"Soyinka, Wole
Achebe, Chinua
Okigbo, Christopher
","On 21 May 1994, four Ogoni chiefs were murdered. Saro-Wiwa was arrested and accused of incitement to them. He denied the charges but was imprisoned for over a year before being found guilty and sentenced to death by a specially convened tribunal. On 10 November 1995, Saro-Wiwa and the rest of the Ogoni Nine were taken to a prison in Port Harcourt and executed by hanging. 

https://en.wikipedia.org/wiki/Ken_Saro-Wiwa",Ken Saro-Wiwa's execution
Léopold Sédar Senghor conferred honorary degree at Harvard University,1971-06-19,"North America. United States. Cambridge, MA.",Professional,"Senghor, Léopold Sédar","On June 19, 1971, two writers involved in politics received honorary degrees at Harvard University: Alan Paton, novelist and leader of the South African Liberal Party, and Leopold Sedar Senghor, poet and President of Senegal.",Léopold Sédar Senghor conferred honorary degree at Harvard University
