Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Book Review,The Times Literary Supplement,1980-06-06,p. 646,"http://link.galegroup.com/apps/doc/EX1200429466/GDCS?u=linc74325&sid=
GDCS&xid=2bbcdc94",2019-07-06,"Gale Primary Sources Database

Print: ","""Among the magazines."" The Times Literary Supplement, 6 June 1980, p. 646. The Times Literary Supplement
Historical Archive, http://link.galegroup.com/apps/doc/EX1200429466/GDCS?u=linc74325&sid=
GDCS&xid=2bbcdc94. Accessed 6 July 2019.",Among the Magazines,,"Ntuli, Pitika",Ntuli,,Pitika,,,,"Ntuli, Pitika. ""Sculptor in Prison,"" an Index on Censorship. Writers and Scholars International LTD, 1980. ",Single Author|Full Length,,Arrest of Pitika Ntuli,Fri Apr 07 00:00:00 CST 1978,Southern Africa. Swaziland.,Event|Political,,"…and ""Sculptor in prison"", an interview with Pitika Ntuli, the black South African poet and artist, who describes how he coped with the ordeal of solitary confinement in Swaziland. ",,"arrest, sculptor, prison, jail, solitary, censorship, exile",
Book Review,The Times Literary Supplement,2004-09-10,p. 32,"http://link.galegroup.com/apps/doc/EX1200520023/GDCS?u=linc74325&sid=
GDCS&xid=9c8e04de",2019-07-06,"Gale Primary Sources Database

Print: ","Treglown, Jeremy. ""Wayward and wild."" The Times Literary Supplement, 10 Sept. 2004, p. 32. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200520023/GDCS?u=linc74325&sid=
GDCS&xid=9c8e04de. Accessed 6 July 2019.",Wayward and wild,"Treglown, Jeremy","Campbell, Roy",Campbell,,"Roy
","Lewis, C. S.","Garman, Mary | SPOUSE","Treglown, Jeremy|Critic",,,"Connolly, Cressida. The Rare and the Beautiful: the lives of the Garmans. Fourth Estate, 2004. ",Marriage to Mary Garman,1924,"England. London.
",Event|Personal,,"Mary married the volatile South African poet Roy Campbell, and had a range of affairs, including with Vita Sackville-West. (""Fancy being cuckolded by a woman!"" was C.S. Lewis's reation when Campbell told him.) ",,"biography, affair, marriage",
Book Review,The Times Literary Supplement,2001-08-03,p. 21,"http://link.galegroup.com/apps/doc/EX1200505177/GDCS?u=linc74325&sid=
GDCS&xid=4c722ff4",2019-07-06,"Gale Primary Sources Database

Print: ","Driver, Jonty. ""Exile in Colchester."" The Times Literary Supplement, 3 Aug. 2001, p. 21. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200505177/GDCS?u=linc74325&sid=
GDCS&xid=4c722ff4. Accessed 6 July 2019.",Excile in Colechester,"Kirkwood, Mike ","Currey, Ralph Nixon [R. N.]",Currey,Nixon,Ralph [R. N.],"Elliot, T. S.
",,"Kirkwood, Mike|Critic","Currey, R. N. Exile in Colchester: Collected Poems. David Philip/James Currey, 2001.
",Single Author|Collected Works,,,,,,,"R. N. Currey was born in South Africa in 1907, the chid of a missionary family, and lived there until he went to school in England in 1921. As a result of that circumstance, and a few subsequent visits, he is often claimed as a South African poet.  That his Collected Poems is jointly pubished by David Phillip (Probably the best and certainly the most influential publisher in South Africa) and his son's firm (based in Oxford, but mainly concerned with African material) seems to bear out this claim). ",,"missionary, emigrate, immigrant",
Book Review,The Times Literary Supplement,1969-07-24,p. 836,http://link.galegroup.com/apps/doc/EX1200360477/GDCS?u=linc74325&sid=GDCS&xid=7be13190,2019-07-01,"Gale Primary Sources Database

Print: ","Moore, Gerald Holyoake, and Gerald Moore. ""Paths to Refinement."" The Times Literary Supplement,24 July 1969, p. 836. The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200360477/GDCS?u=linc74325&sid=GDCS&xid=7be13190. Accessed 1 July2019.",Paths to Refinement,"Moore, Gerald","Echeruo, Michael J. C. ",Echeruo,J.C.,Micheal,"Okigbo, Christopher
Soyinka, Wole
Clark, John Pepper [J. P.] 
",,"Moore, Gerald|Critic","Echeruo, Michael J. C. Mortality: Poems by Michael J.C. Echeruo. Published by Longmans, Green and Co., London, 1968

",Single Author|Selected Works,,,,,,,"Both the virtues and weaknesses of the later Christopher Okigbo's poetry are visible in the first collection of his fellow-Ibo and young compatriot Micheal Echeruo….


",,"critic, criticism, review",
Critical Article,Times,1916-02-17,p. 11,http://link.galegroup.com/apps/doc/CS186713681/GDCS?u=linc74325&sid=GDCS&xid=cf977bbe,2019-06-29,Gale Primary Sources Database,"""Poetry Of The New Lands."" Times, 17 Feb. 1916, p. 11. The Times Digital Archive, http://link.galegroup.com/apps/doc/CS186713681/GDCS?u=linc74325&sid=GDCS&xid=cf977bbe. Accessed 29 June 2019.",Poetry of the New Lands,,"Kipling, Rudyard",Kipling,,Rudyard,"Pringle, Thomas",,,,,,,,,,,"Turning to South Africa, Sir Hubert said Rudyard Kipling was in a sense a poet of South Africa, the Poet of ""General Joubert"" and the ""Bridge Guard in the Karroo."" and ""Columns"" and ""Piet."" He had consulted Mr. Kipling as to what South African Poetry there was beside his own.
Mr. Kiplig replied, ""It's a case of there's Pringle, and there's Pringle, and there's a lot of good verse, light and half-light, but scattered, and there are the poems in the Taal, part translations and parodies, part original."" 
Pringle was the son of a Scotch Border farmer, roughly contemporary with Keats. He acquired a good literary position in Edingurgh and made the friendship of Scott. But literature did not pay, and in 1819 he went out to South African with a Scotch party. He spent some time with them in the bush and then attempted a new iterary career in Cape Town, but quarrelled with the governor, and returning to England threw himsef into the cause of the abolition of slavery. Just when success was reached he died at the early age of 46 in 1834.",,"abolition, slavery, death, funeral",
Critical Article,Diamond Fields Advertiser,1908-01-17,p. 7, http://link.galegroup.com/apps/doc/CKGJCG835650095/GDCS?u=linc74325&sid=GDCS&xid=ec05fce1,2019-06-29,Gale Primary Sources Database,"""Protection Cry."" Diamond Fields Advertiser, 17 Jan. 1908, p. 7. Nineteenth Century CollectionsOnline, http://link.galegroup.com/apps/doc/CKGJCG835650095/GDCS?u=linc74325&sid=GDCS&xid=ec05fce1. Accessed 27 June 2019.","""African Poetry."" Rhodesia Herald, 30 Dec. 1910, p. 17. Nineteenth Century Collections Online, http://link.galegroup.
com/apps/doc/UTJQTJ637745800/GDCS?u=linc74325&sid=GDCS&xid=df8a2fef. Accessed 27 June 2019.",,"Quette, Joe ",Quette,,Joe,"Shakespeare, William 
Kipling, Rudyard",,,,,,,,,,,"The Rev Joe Quette said he was a poet, a South African Poet. He admitted he was at present only a minor poet but he hoped that with the assistance of the Society for the Enforced Consumption of Aboriginal Products he would soon attain  his majority. Indeed many members of the S.E.C.A.P. had undertaken to read no poetry but his. ",,"reverend, aboriginal",
Book Review,Financial Times,1996-11-02,p. XVI,http://link.galegroup.com/apps/doc/HS2305174558/GDCS?u=linc74325&sid=GDCS&xid=8b631052,2019-06-29,Gale Primary Sources Database,"""All the Trouble in the World."" Financial Times, 2 Nov. 1996, p. XVI. Financial TimesHistorical Archive, http://link.galegroup.com/apps/doc/HS2305174558/GDCS?u=linc74325&sid=GDCS&xid=8b631052. Accessed 29 June 2019.",All the Trouble in the World- Dr. Mairi J Blackings comments a bold exploration of the turmoil in Africa,"Blacklings,  Mairi J.","Soyinka, Wole",Soyinka,,Wole,,,"Blacklings,  Mairi J.|Critic","Soyinka, Wole. The Open Sore of a Continent: A Personal Narrative of the Nigerian Crisis. Oxford University Press (August 7, 1997)
",Single Author|Full Length,,Execution of activist Ken Saro-Wiwa,Fri Nov 10 00:00:00 CST 1995,West Africa. Nigeria. Port Harcourt.,Event|Political,,,,,
Obituary,Times,1932-01-21,p. 11,http://tinyurl.galegroup.com/tinyurl/49BSw5,2016-12-15,Gale Primary Sources Database,"FROM OUR ALGIERS CORRESPONDENT. ""Death Of A Moslem Poet."" Times 21 Jan. 1932: 11. The TimesDigital Archive. Web. 15 Dec. 2016.URLhttp://tinyurl.galegroup.com/tinyurl/49BSw5","Death of a Muslim Poet
ast ""Minstrel"" of North Africa",,"El Hadj Belarbi, Sheik Benguedda",El Hadj Belarbi,,Sheik Benguedda,,,,,,,Death of Sheik Benguedda El Hadj Belarbi,Tue Jan 12 00:00:00 CST 1932,North Africa. Algeria. Mazouna. ,Event|Social,,"DEATH OF A MOSLEM POET
LAST ""MINSTREL"" OF NORTH AFRICA
FROM OUR ALGIERS CORRESPONDENT

Just after noon on January 12, almost at the beginning of Ramadan the famous Moslem poet Sheik Benguedda El Hadj Belarbi, died at Mazuna.  He was over 80, and had been il for a long time. For may years he lived at Ain-Morane, where he was the central figure in a group of native chiefs, the descendants of those who had fought in the border battles btween Bu-Maaza, the Sultan of the Dahra and the Warsenis, and Saint-Arnaud and Pelissier. He was the living history of those stirring times.
Later on he came to Mazuna and became the proprietor of a Moorish cafe, which was opened by M.Jules Cambon, then Governor-General of Algeria, and was for many years a place  of pilgrimage for poets from all over North Africa. His chief delight was in long improvisations, for which he relied on his remarkable retentive memory. In his library were to be found nearly all the works of the North African Moslem poets especialy those of Morocco and Western Algeria, and he would readily recite long narrative poems of over 1,200 lines, such as the famous Moslem poems of the seventeenth century. He died poor, having spent nearly all his money in paying scribes to record the traditional Moslem poetry. Wirh him has passed probably the last of those who have long borne the banner of Moslem ministrelsy in North Africa.",,"death, muslim, minstrel, ramadan, pilgrimage",
Book Review,The Times Literary Supplement,1971-04-23,p. 486,http://link.galegroup.com/apps/doc/EX1200371915/GDCS?u=linc74325&sid=GDCS&xid=fd1e9cb3,2019-07-01,Gale Primary Sources Database,"Moore, Gerald Holyoake, and G. Moore. ""The Allusive Traditions of Africa."" The Times Literary Supplement, 23 Apr. 1971, p. 468. The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200371915/GDCS?u=linc74325&sid=GDCS&xid=fd1e9cb3. Accessed 1 July 2019.",The allusive traditions of Africa,"Moore, Gerald ","P'Bitek, Okot",P'Bitek,,Okot,,,"Moore, Gerald|Critic",,,"Finnegan, Ruth. Oral Literature in Africa. Oxford Press, 1970.",,,,,,"Book review of Ruth Finnegan's work; briefly mentions of p'Bitek: ""Clearly, we shall have to move not only towards the acceptance of aesthetic standards in the collection of [African] oral literature but towards the acceptance of two partially separate standards. For the indigenous collector, like Okot p""Bitek of the Acoli or J. H. Nketia of the Adan, a standard based on deep and intimate knowledge of the particular culture and its chief literary artists must be adopted."" ",,"indigenous, aesthetic, oral, identity",
Book Review,The Times Literary Supplement,1982-08-27,p. 928,http://link.galegroup.com/apps/doc/EX1200162121/GDCS?u=linc74325&sid=GDCS&xid=d506a159,2019-07-01,Gale Primary Sources Database,"Walder, Dennis. ""Sophiatown style."" The Times Literary Supplement, 27 Aug. 1982, p. 928. The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200162121/GDCS?u=linc74325&sid=GDCS&xid=d506a159. Accessed 1 July 2019",Sophiatown Style,"Walder, Dennis ","Ranaivo, Flavien
Rabearivelo, Jean-Joseph
Rabemananjara, Jacques","Ranaivo
Rabearivelo 
Rabemananjara",,"Flavien
Jean-Joseph
Jacques ","Lawrence, D. H. 
Joyce, James
Kafka, Franz
Pound, Exra
Sartre, Jean-Paul",,"Walder, Dennis|Critic",,,"Nkosi, Lewis. Tasks and Masks: Themes and Styles of African Literature. Addison-Wesley Longman Ltd (January 1, 1982).","""Drum,"" African Magazine Begins
Defiance Campaign  against Unjust Laws 
Sharpeville Massacre","1951
1952-12-01
1960-03-21","South Africa. Johannesburg.
South Africa. Bloemfontein.
South Africa. Vereeniging. Sharpeville. ","Event|Social
Event|Political
Event|Political",,"Critic Dennis Walder suggests that Lewis Nkosi in Tasks and Masks is ""particularly persuasive on modern African poetry."" Nkosi cites Ranaivo, Rabearivelo, Rabemananjaro as cosmopolitan Malagasy poets; Walder suggests that these poets ""elicit from Nkosi close and sympathetic attention, and a convincing application of his overall argument - announced at the start as an obsessive idea that African writers are 'easily divisible' into two groups: those who see their society as unchanging, like a mask turned perpetually in the artist's hands, 'each time revealing nothing more than what it is, the work of some skillful carver who originally imparted to it its outstanding features'; and those writers who conceive 'of the act of writing as the carrying out of social tasks'."" Walder writes, ""As Nkosi applies this distinction, the remarkably rich and varied literary manifestations of the continent do begin to fall into a kind of order. And its application enables the critic to proceed to the level of insight which relates the different uses of, for example, traditional Malagasy folk poetry - the so-called hain-teny or proverb formula - by the poets concerned, to their respective personal and class positions: Rabearivelo, the 'deracinated' intellectual whose reworking of the hain-teny conceits read like translation; and Ranaivo, the rediscoverer of his own culture who integrates the hain-teny into his work, thus bringing together 'task' and 'mask'."" ",,"critic, criticism, cosmopolitan",
