Poet ID,"Poet Name (Last name, first name[Alternate])",Poet Gender,DOB (YYYY-MM-DD),DOD (YYYY-MM-DD),Poet Nationality (Country Name) ,Poet University Name,Poet University Place,Poet University Date Entered,Poet University Date Graduated,Poet University Degree,In CAP,Poet BIB,Poet  PUB,PUB TYPE,Short Bio,Notes,BIO INFO
ACH30NG,"Achebe, Chinua [Albert Chinualumogu]",M,1930-11-16,2013-03-21,West Africa.Nigeria,University College [University of Ibadan],West Africa. Nigeria. Ibadan.,,1953,[unknown],,"Collected Poems (2002)
Another Africa (1997)
Christmas in Biafra and Other Poems (1973)  
Beware, Soul-Brother, and Other Poems (1972)",,,"Chinua Achebe was born in 1930 in the town of Ogidi in eastern Nigeria, and would grow to become the author of the most read book in modern African literature, Things Fall Apart (1958). Achebe was a supporter of Biafran independence after Biafra seceded from Nigeria in 1967, acting as the region's ambassador. He was awarded the Commonwealth Poetry Prize in 1972 for his first collection, Beware, Soul-Brother, and Other Poems, and the Man Booker International Prize in 2007. 

https://en.wikipedia.org/wiki/Chinua_Achebe

https://www.biography.com/writer/chinua-achebe","He was awarded the Commonwealth Poetry Prize in 1972 for his first collection, Beware, Soul-Brother, and Other Poems."," Accessed 10/23/2019
https://www.britannica.com/biography/Chinua-Achebe

https://www.poetryfoundation.org/poets/chinua-achebe"
ADA33SA,"Adams, Perseus [Peter Robert Charles]",M,1933-03-11,Alive,South Africa.South Africa,University of Cape Town,South Africa. South Africa. Cape Town.,,1952,[unknown],Y,"The Land at My Door. (1965)
Grass for the Unicorn. (1975)
Cries & Silences: Selected Poems. (1996)
",,,"Born in Cape Town, South Africa in 1933, Perseus Adams is a lyric poet who is often inspired in his poetry by the landscape and people of his home city. He has worked in many positions over his lifetome, such as a journalist, psychologist, clerk, and English teacher. For his poetry, Adams was awarded the South African State Poetry prize in 1963, the Festival of Rhodesia prize in 1970, and the Bridport Arts Festival prize in 1984. 

https://www.encyclopedia.com/arts/culture-magazines/adams-perseus",,"Accessed 10/23/2019
https://www.encyclopedia.com/arts/culture-magazines/adams-perseus 

https://www.encyclopedia.com/arts/culture-magazines/adams-perseus"
AIG35NG,"Aig-Imoukhuede, Frank",M,1935-01-08,Alive,West Africa.Nigeria,University College [University of Ibadan],West Africa. Nigeria. Ibadan.,,1961,[unknown],, Pidgin Stew and Sufferhead: the pidgin (and other) poems of Frank Aig-Imoukhuede (1982),,,"Born in 1935 in Nigeria, Frank Aig-Imoukhuede is a working journalist and poet, known for his collection ""Pidgin Stew and Sufferhead: the pidgin (and other) poems."" During his time at the University of Ibadan, Aig-Imoukhuede published at the student poetry magazine ""The Horn."" In the 1970s, he served as the secretary of the National Council of Arts and Culture in Nigeria, and was known for his work supporting programs that would benefit children.

https://www.babelmatrix.org/works/en-all/Aig-Imoukhuede,_Frank-1935/biography",,"Accessed 10/23/2019
http://icobainternational.org/index.php?active=page&pgcat=aboutus&spgcat=awardee_view&cid=9"
ALD##??,"Alder, Alice Mabel",F,[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910),,,"Alice Mabel Alder was one of the women involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","bio information unknown
*Can't discover if she is South African by nationality, but worked to develop, along with the Veldsingers Club in Johannesburg, a South African poetic tradition.
","Accessed 10/24/2019
She is mentioned in this book: https://books.google.com/books?id=nGfMAgAAQBAJ&pg=PA1660&lpg=PA1660&dq=alice+mabel+alder&source=bl&ots=JjOv5TvT7e&sig=ACfU3U2Va5LzY4DmHmYP6OnpRFq2MSx9-g&hl=en&sa=X&ved=2ahUKEwje0fmhpbXlAhUCM6wKHUS6DrcQ6AEwAHoECAkQAQ#v=onepage&q=alice%20mabel%20alder&f=false"
ALL##??,"Allhusen, Beatrice",F,[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910),,,"Beatrice Allhusen was one of the women involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ","bio information unknown
*Can't discover if she is South African by nationality, but worked to develop, along with the Veldsingers Club in Johannesburg, a South African poetic tradition.
","Accessed 10/24/2019

mentioned here: https://www.jstor.org/stable/40239020?seq=1#page_scan_tab_contents

"
AWO35GH,"Awoonor, Kofi",M,1935-03-13,2013-09-21,West Africa.Ghana,"University College of Ghana
University College, London
SUNY Stony Brook","West Africa. Ghana. Accra.
United Kingdom. England. London.
North America. USA. New York, NY.",,"1960
1970
1972","BA
MA
PhD
",,"Rediscovery and Other Poems (1964)
Night of My Blood (1971)
Ride Me, Memory (1973)
The House by the Sea (1978)
The Latin American and Caribbean Notebook (1992)
Until the Morning After (1987)",,,"Kofi Awoonor was born in Wheta, now in present day Ghana. His poetic works utilized both the singing and verse traditions of his native Ewe people and contemporary references in order to represent the strife of Africa during the process of decolonization. He studied abroad in both England and the United States and returned to Ghana after receiving his PhD in 1972. Awoonor was briefly imprisoned without trial in 1975 by the military government in Ghana for supposed conspiracy to overthrow, but was released in 1976. In 2013, Awoonor was killed in an attack at the Westgate shopping mall in Nairobi.

https://en.wikipedia.org/wiki/Kofi_Awoonor",,"Accessed 10/24/2019

https://www.poetryfoundation.org/poets/kofi-awoonor

https://www.britannica.com/biography/Kofi-Awoonor"
AYL35SA,"Aylen, Leo",M,1935-02-15,Alive,South Africa.South Africa,"New College, Oxford
Bristol University","United Kingdom. England. Oxford.
United Kingdom. England. Bristol.
",,"1959
1962","BA/MA
PhD",,"The Day The Grass Came 
Dancing the Impossible: New & Selected Poems 
Jumping-Shoes 
Red Alert: this is a god warning 
Return to Zululand 
Sunflower 
I,Odysseus 
Discontinued Design ",,,"Leo Aylen was born in South Africa in 1935, and is a author, actor, director, screenwriter, and poet. In 2001, he was awarded a Royal Literary Fund Fellowship, and was Writer in Residence at The Byam Shaw School of Art and then at University of Bath in 2002. His poetry has been published in  one-hundred anthologies. Aylen actively travels and performs poetry at univerisities around the world. 

http://www.leoaylen.com/biography/",,"Accessed 10/24/2019


http://www.leoaylen.com/

International Who's Who in Poetry 2004
By Europa Publications"
BEG71GB,"Begbie, Harold",M,1871,1929,United Kingdom.England,[none],[none],,[none],[none],,"The Political Struwwelpeter (1899)
The Story of Baden-Powell: 'The Wolf That Never Sleeps' (1900)
Bundy in the Greenwood (1902)
Clara in Blunderland (1902)
Lost in Blunderland (1903)
The life of William Booth, the Founder of the Salvation Army (1920)
The Bed-Book of Happiness (1914)
The Mirrors of Downing Street: Some Political Reflections by a Gentleman with a Duster (1921)
Painted Windows: Studies in Religious Personality (1922)",,,"Born in 19871, Harold Begbie was a poet, author, and journalist who published nearly fifty books of political satire, comedy, fiction, and more. He wrote popular verse for children and wrote a series of ""Bible stories,"" also for children. He was active in the social reform movement in England, though in the post-World War I period be became significantly more conservative.  

https://en.wikipedia.org/wiki/Harold_Begbie","[From PoemHunter.com]: Edward Harold Begbie (1871–1929), also known as Harold Begbie, was an English author and journalist who published nearly 50 books and poems and contributed to periodicals. Besides studies of the Christian religion, Begbie wrote numerous other books, including political satire, comedy, fiction, science fiction, plays and poetry.","Accessed 02/28/2020

https://www.poemhunter.com/harold-begbie/biography/

http://forgottenpoetsofww1.blogspot.com/2015/11/harold-begbie.html"
BLA59SA,"Blane, William",M,1859,1936-03-11,South Africa.South Africa,[none],[none],,[none],[none],,"The Silent Land (1906)
The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910)",,,"William Blane was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ",bio information unknown,"Accessed 10/24/2019

mentioned here: https://books.google.com/books?id=4hFVAAAAYAAJ&pg=PA465&lpg=PA465&dq=william+blane+africa&source=bl&ots=IV3znTbRCf&sig=ACfU3U2amw0bnkomgI_O9a1x7pyBAI_Yig&hl=en&sa=X&ved=2ahUKEwi6jteZq7XlAhUDi6wKHeSLAGsQ6AEwAnoECAkQAQ#v=onepage&q=william%20blane%20africa&f=false

https://www.gracesguide.co.uk/William_Blane"
BLU24IT,"Blum, Peter",M,1925-05-04,1990-12-05,"Europe.Trieste, Kingdom of Italy",University of Cape Town,South Africa. South Africa. Cape Town.,,[none],[unknown],,"Steenbok tot poolsee (1955) 
Enklaves van die lig (1958) ",,,"Peter Blum emigrated with his family from Italy to South Africa as a young child; he worked as a librarian and poet. His first achieved success as a poet in 1956 when he won the Reina Prinsen Geerligs Prize for his collection Steenbok tot poolsee. Blum was denied South African citizenship likely because of his political opposition to the racist policies of the South African government. 

https://en.wikipedia.org/wiki/Peter_Blum",emigrated to Union of South Africa as a child with his family.,"Accessed 10/24/2019

https://en.wikipedia.org/wiki/Peter_Blum"
BOL13CO,"Bolamba, Antoine-Roger",M,1913-07-27,2002-07-02,Middle Africa.Republic of the Congo,[none],[none],,[none],[none],,"Premiers Essais (First Attempts) (1947)
Esanzo: Chants pour mon pays (Esanzo: Songs for my Country) (1956) ",,,"Antoine-Roger Bolamba was born in 1913 in the Belgian Congo and would become a prominent Congolese poet, journalist, and politician. He was first hired by the colonial government in 1944 to manage its press division, and quickly was promoted to editor in chief of the publication La Voix du Congolais. By 1960, Patrice Lumumba encouraged Bolamba to join his liberal party; Bolamba was appointed the Secretary of State for Information and Cultural Affairs to the independent Congolese government. Though not a prolific writer, Bolamba is considered an important French-language writer in Belgian Africa.

https://en.wikipedia.org/wiki/Antoine-Roger_Bolamba",,"Accessed 10/24/2019

https://en.wikipedia.org/wiki/Antoine-Roger_Bolamba

http://www.bibliomonde.com/auteur/antoine-roger-bolamba-2963.html"
BRE28GH,"Brew, Kwesi",M,1928-05-27,2007-07-30,West Africa.Ghana,University College of the Gold Coast [University of Ghana],West Africa. Ghana. ,,1953,BA,,"Pergamon Poets 2: Poetry from Africa, with others (1968)
The Shadows of Laughter (1968)
African Panorama (1981)
Return of No Return and Other Poems (1995)
The Clan of the Leopard and Other Poems (1996)",,,"Kwesi Brew was born in 1928 in Ghana, and would become a renowned poet and diplomat. Brew won a British Council poetry award after his graduation from University College of the Gold Coast in 1951. His poems would appear in the Ghanaian journal Okyeame. 

https://en.wikipedia.org/wiki/Kwesi_Brew",,"Accessed 10/24/2019

https://www.encyclopedia.com/arts/culture-magazines/brew-oh-kwesi"
BRE39SA,"Breytenbach, Breyten",M,1939-09-16,Alive,South Africa.South Africa,University of Cape Town,South Africa. South Africa. Cape Town.,,1959,[unknown],,"The Iron Cow Must Sweat (1964) 
Footscript(1976)
Lady One",,,"Born in South Africa in 1939, Breyten Breytenbach was a poet and activist known for his dissent against South African apartheid. Breytenbach was imprisoned in South Africa in 1975 for high treason. He was released in 1982 and left for Paris, where he received French citizenship. In 2017, he was awarded the Laureate of the Zbigniew Herbert Literary Award.

https://en.wikipedia.org/wiki/Breyten_Breytenbach",,"Accessed 10/24/2019

https://www.britannica.com/biography/Breyten-Breytenbach

International Who's Who in Poetry 2004
By Europa Publications

"
