Id,City,State,Country,Full Address,Latitude,Longitude
,StringFilter,StringFilter,StringFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
1,-,-,Nigeria,- - Nigeria ,9.081999,8.675277
2,Ibadan,-,Nigeria,Ibadan - Nigeria ,7.3775355,3.9470396
3,-,-,South Africa,- - South Africa ,-30.559482,22.937506
4,Cape Town,-,South Africa,Cape Town - South Africa ,-33.9248685,18.4240553
5,-,-,Ghana,- - Ghana ,7.946527,-1.023194
6,Accra,-,Ghana,Accra - Ghana ,5.6037168,-0.1869644
7,London,-,England,London - England ,51.5073509,-0.1277583
8,New York,New York,United States,New York New York United States ,40.7127753,-74.0059728
9,Oxford,-,England,Oxford - England ,51.7520209,-1.2577263
10,Bristol,-,England,Bristol - England ,51.454513,-2.58791
11,-,-,England,- - England ,52.3555177,-1.1743197
12,-,-,"Trieste, Kingdom of Italy","- - Trieste, Kingdom of Italy ",45.6495264,13.7768182
13,-,-,Republic of the Congo,- - Republic of the Congo ,-0.228021,15.827659
14,-,-,Ghana,- - Ghana ,7.946527,-1.023194
15,-,-,Colony of Southern Rhodesia,- - Colony of Southern Rhodesia ,,
16,Johannesburg,-,South Africa,Johannesburg - South Africa ,-26.2041028,28.0473051
17,Natal,-,South Africa,Natal - South Africa ,-28.5305539,30.8958242
18,-,-,Malawi,- - Malawi ,-13.254308,34.301525
19,Lusaka,-,Zambia,Lusaka - Zambia ,-15.3875259,28.3228165
20,New Haven,Connecticut,United States,New Haven Connecticut United States ,41.308274,-72.9278835
21,Providence,Rhode Island,United States,Providence Rhode Island United States ,41.8239891,-71.4128343
22,Princeton,New Jersey,United States,Princeton New Jersey United States ,40.3572976,-74.6672226
23,Grahamstown,-,South Africa,Grahamstown - South Africa ,-33.3106292,26.5255946
24,Austin,Texas,United States,Austin Texas United States ,30.267153,-97.7430608
25,-,-,Ivory Coast,- - Ivory Coast ,7.539989,-5.54708
26,Kolda,-,Senegal,Kolda - Senegal ,12.9107495,-14.9505671
27,-,-,Senegal,- - Senegal ,14.497401,-14.452362
28,Katibougou,-,Mali,Katibougou - Mali ,12.9254634,-7.527614
29,Toulouse,-,France,Toulouse - France ,43.604652,1.444209
30,Ithaca,New York,United States,Ithaca New York United States ,42.4439614,-76.5018807
31,Durham,-,England,Durham - England ,54.77525,-1.584852
32,-,-,Wales,- - Wales ,52.1306607,-3.7837117
33,-,-,Scotland,- - Scotland ,56.4906712,-4.2026458
34,Sheffield,-,England,Sheffield - England ,53.381129,-1.470085
35,-,-,Somaliland,- - Somaliland ,9.4117434,46.8252838
36,Cambridge,Massachusetts,United States,Cambridge Massachusetts United States ,42.3736158,-71.1097335
37,Buffalo,New York,United States,Buffalo New York United States ,42.8864468,-78.8783689
38,-,-,Angola,- - Angola ,-11.202692,17.873887
39,-,-,India,- - India ,20.593684,78.96288
40,Stellenbosch,-,South Africa,Stellenbosch - South Africa ,-33.9321045,18.860152
41,"Bloemfontein, Free State",-,South Africa,"Bloemfontein, Free State - South Africa ",-29.085214,26.1595761
42,Pretoria,-,South Africa,Pretoria - South Africa ,-25.7478676,28.2292712
43,-,-,Malaysia,- - Malaysia ,4.210484,101.975766
44,-,-,South Sudan,- - South Sudan ,6.8769919,31.3069788
45,Washington DC,-,United States,Washington DC - United States ,38.9071923,-77.0368707
46,Iowa City,Iowa,United States,Iowa City Iowa United States ,41.6611277,-91.5301683
47,Cambridge,-,England,Cambridge - England ,52.205337,0.121817
48,Zomba,-,Malawi,Zomba - Malawi ,-15.3765857,35.3356518
49,-,-,Zimbabwe,- - Zimbabwe ,-19.015438,29.154857
50,Harare,-,Zimbabwe,Harare - Zimbabwe ,-17.8216288,31.0492259
51,-,-,Uganda,- - Uganda ,1.373333,32.290275
52,Kampala,-,Uganda,Kampala - Uganda ,0.3475964,32.5825197
53,Leiden,-,Netherlands,Leiden - Netherlands ,52.1601144,4.4970097
54,Lagos,-,Nigeria,Lagos - Nigeria ,6.5243793,3.3792057
55,Evanston,Illinois,United States,Evanston Illinois United States ,42.0450722,-87.6876969
56,-,-,Gambia,- - Gambia ,13.443182,-15.310139
57,Potchefstroom,-,South Africa,Potchefstroom - South Africa ,-26.7145297,27.0970475
58,Edinburgh,-,Scotland,Edinburgh - Scotland ,55.953252,-3.188267
59,-,-,Madagascar,- - Madagascar ,-18.766947,46.869107
60,Paris,-,France,Paris - France ,48.856614,2.3522219
61,Leeds,-,England,Leeds - England ,53.8007554,-1.5490774
62,Johannesburg,-,South Africa,Johannesburg - South Africa ,-26.2041028,28.0473051
63,Lisbon,-,Portugal,Lisbon - Portugal ,38.7222524,-9.1393366
64,London,-,England,London - England ,51.5073509,-0.1277583
65,Lagos,-,Nigeria,Lagos - Nigeria ,6.5243793,3.3792057
66,Port Harcourt,-,Nigeria,Port Harcourt - Nigeria ,4.815554,7.0498442
